,Time Length,Accuracy,Jammer Max Rate
0,100.0,99.63,2.0
1,100.0,98.93,3.0
2,100.0,98.9,4.0
3,100.0,97.15,5.0
4,100.0,96.67,6.0
5,100.0,95.22,7.0
6,100.0,94.43,8.0
7,100.0,94.63,9.0
8,100.0,93.48,10.0
9,100.0,91.01,11.0
10,100.0,91.58,12.0
11,100.0,91.53,13.0
12,100.0,91.11,14.0
13,100.0,91.02,15.0
14,100.0,88.68,16.0
15,100.0,88.16,17.0
16,100.0,87.93,18.0
17,100.0,89.63,19.0
18,100.0,87.77,20.0
19,100.0,88.0,21.0
20,100.0,85.81,22.0
21,100.0,85.99,23.0
22,100.0,84.34,24.0
23,100.0,86.31,25.0
24,100.0,87.29,26.0
25,100.0,83.65,27.0
26,100.0,83.3,28.0
27,100.0,83.75,29.0
28,100.0,83.91,30.0
29,100.0,80.31,31.0
30,100.0,83.34,32.0
31,100.0,84.3,33.0
32,100.0,81.29,34.0
33,100.0,81.23,35.0
34,100.0,81.13,36.0
35,100.0,82.33,37.0
36,100.0,83.12,38.0
37,100.0,82.19,39.0
38,100.0,79.82,40.0
39,100.0,82.52,41.0
40,100.0,80.83,42.0
41,100.0,78.7,43.0
42,100.0,80.97,44.0
43,100.0,80.54,45.0
44,100.0,80.1,46.0
45,100.0,79.99,47.0
46,100.0,81.36,48.0
47,100.0,77.51,49.0
48,100.0,79.41,50.0
49,100.0,79.04,51.0
50,100.0,80.4,52.0
51,100.0,82.08,53.0
52,100.0,79.98,54.0
53,100.0,79.77,55.0
54,100.0,79.7,56.0
55,100.0,78.88,57.0
56,100.0,79.27,58.0
57,100.0,77.8,59.0
58,100.0,76.36,60.0
59,100.0,76.79,61.0
60,100.0,80.23,62.0
61,100.0,78.24,63.0
62,100.0,78.9,64.0
63,100.0,78.51,65.0
64,100.0,80.47,66.0
65,100.0,75.09,67.0
66,100.0,80.66,68.0
67,100.0,77.9,69.0
68,100.0,81.71,70.0
69,100.0,80.13,71.0
70,100.0,75.95,72.0
71,100.0,77.88,73.0
72,100.0,75.14,74.0
73,100.0,76.82,75.0
74,100.0,79.15,76.0
75,100.0,82.17,77.0
76,100.0,77.77,78.0
77,100.0,81.61,79.0
78,100.0,77.72,80.0
79,100.0,79.86,81.0
80,100.0,79.25,82.0
81,100.0,77.48,83.0
82,100.0,75.72,84.0
83,100.0,75.57,85.0
84,100.0,78.87,86.0
85,100.0,80.12,87.0
86,100.0,80.15,88.0
87,100.0,76.37,89.0
88,100.0,81.7,90.0
89,100.0,76.71,91.0
90,100.0,78.28,92.0
91,100.0,77.43,93.0
92,100.0,78.16,94.0
93,100.0,77.3,95.0
94,100.0,77.41,96.0
95,100.0,78.24,97.0
96,100.0,80.56,98.0
97,100.0,78.18,99.0
98,100.0,80.91,100.0
99,100.0,76.48,101.0
100,100.0,82.51670000000001,51.5
