,Time Length,Min Max Accuracy,Window Accuracy,Baseline Accuracy,Jammer Avg Rate
0,1000.0,91.52000000000001,44.89999999999999,54.29,0.5
1,1000.0,91.1,45.209999999999994,51.61999999999999,0.55
2,1000.0,91.99000000000001,45.10999999999999,47.839999999999996,0.6
3,1000.0,89.62,45.169999999999995,50.35,0.65
4,1000.0,89.48999999999998,45.27999999999999,50.64,0.7
5,1000.0,89.02000000000001,45.29,50.08,0.75
6,1000.0,88.61,45.449999999999996,49.43,0.8
7,1000.0,84.82,45.239999999999995,50.37,0.85
8,1000.0,86.25,45.25999999999999,48.97,0.9
9,1000.0,86.3,44.97999999999999,48.199999999999996,0.95
10,1000.0,86.86,45.05999999999999,47.0,1.0
11,1000.0,83.46000000000001,45.15,52.52,1.05
12,1000.0,86.32,45.39999999999999,47.550000000000004,1.1
13,1000.0,87.21000000000001,45.459999999999994,51.749999999999986,1.15
14,1000.0,84.92999999999998,45.29,50.5,1.2
15,1000.0,85.15,45.37,47.89,1.25
16,1000.0,84.97,45.46,49.2,1.3
17,1000.0,85.98000000000002,45.33,48.92,1.35
18,1000.0,85.51,45.5,49.010000000000005,1.4
19,1000.0,80.86,45.52999999999999,48.5,1.45
20,1000.0,83.17000000000002,45.279999999999994,51.36,1.5
21,1000.0,84.74,45.419999999999995,49.49999999999999,1.55
22,1000.0,82.49,45.57,47.230000000000004,1.6
23,1000.0,84.44000000000001,45.279999999999994,50.49999999999999,1.65
24,1000.0,79.81,45.42999999999999,45.099999999999994,1.7
25,1000.0,83.83000000000001,45.169999999999995,52.81999999999999,1.75
26,1000.0,84.01,45.13999999999999,52.44,1.8
27,1000.0,81.05999999999999,45.13999999999999,53.519999999999996,1.85
28,1000.0,83.26,45.449999999999996,47.940000000000005,1.9
29,1000.0,80.22999999999999,45.53999999999999,51.540000000000006,1.95
30,1000.0,81.08,45.459999999999994,49.77,2.0
31,1000.0,81.1,45.459999999999994,54.67,2.05
32,1000.0,80.3,45.459999999999994,47.58,2.1
33,1000.0,79.73999999999998,45.29999999999999,46.839999999999996,2.15
34,1000.0,81.95000000000002,45.21999999999999,51.71,2.2
35,1000.0,82.16,45.21999999999999,52.73,2.25
36,1000.0,79.27000000000001,45.3,51.709999999999994,2.3
37,1000.0,80.09,45.13999999999999,54.25,2.35
38,1000.0,78.66,45.139999999999986,49.1,2.4
39,1000.0,79.55,45.3,44.690000000000005,2.45
40,1000.0,80.07,45.3,49.12999999999999,2.5
41,1000.0,76.43,45.53999999999999,47.93000000000001,2.55
42,1000.0,78.92999999999999,45.3,53.459999999999994,2.6
43,1000.0,79.78,45.37999999999999,56.029999999999994,2.65
44,1000.0,80.44,45.3,48.06,2.7
45,1000.0,80.55,45.13999999999999,52.75999999999999,2.75
46,1000.0,74.11999999999999,45.21999999999999,51.25999999999999,2.8
47,1000.0,81.0,45.3,51.260000000000005,2.85
48,1000.0,79.69999999999999,45.379999999999995,45.99,2.9
49,1000.0,79.66999999999999,45.13999999999999,53.61,2.95
50,1000.0,77.27,45.37999999999999,42.15,3.0
51,1000.0,78.27,45.21999999999999,50.66000000000001,3.05
52,1000.0,79.72,45.379999999999995,50.75,3.1
53,1000.0,78.73000000000002,45.3,47.91,3.15
54,1000.0,79.73,45.379999999999995,47.239999999999995,3.2
55,1000.0,76.8,45.379999999999995,59.89000000000001,3.25
56,1000.0,76.9,45.219999999999985,48.690000000000005,3.3
57,1000.0,80.07,45.379999999999995,49.32000000000001,3.35
58,1000.0,73.88000000000001,45.459999999999994,51.39,3.4
59,1000.0,76.78,45.54,51.65,3.45
60,1000.0,80.31000000000002,45.3,44.459999999999994,3.5
61,1000.0,77.08,45.3,48.03,3.55
62,1000.0,77.89,45.3,57.660000000000004,3.6
63,1000.0,77.02,44.97999999999999,59.44000000000001,3.65
64,1000.0,79.18,45.3,49.650000000000006,3.7
65,1000.0,77.14000000000001,45.21999999999999,49.38,3.75
66,1000.0,76.91999999999999,45.13999999999999,51.830000000000005,3.8
67,1000.0,77.21000000000001,45.3,57.58,3.85
68,1000.0,76.67999999999999,45.54,40.43,3.9
69,1000.0,78.28999999999999,45.13999999999999,52.07000000000001,3.95
70,1000.0,78.5,45.21999999999999,51.839999999999996,4.0
71,1000.0,78.02,45.05999999999999,54.9,4.05
72,1000.0,78.42,45.29999999999999,48.88,4.1
73,1000.0,82.4,45.379999999999995,55.33,4.15
74,1000.0,77.46000000000001,45.3,45.14,4.2
75,1000.0,80.24,45.459999999999994,51.739999999999995,4.25
76,1000.0,76.32,45.3,59.49000000000001,4.3
77,1000.0,77.33,45.37999999999999,52.14,4.35
78,1000.0,77.63999999999999,45.459999999999994,47.89,4.4
79,1000.0,77.42999999999999,45.21999999999999,49.87,4.45
80,1000.0,73.78999999999999,45.13999999999999,50.58,4.5
81,1000.0,75.92999999999999,45.3,44.89,4.55
82,1000.0,76.08,45.379999999999995,46.93,4.6
83,1000.0,79.7,45.37999999999999,47.480000000000004,4.65
84,1000.0,79.14,45.379999999999995,54.79,4.7
85,1000.0,78.14,45.3,52.45,4.75
86,1000.0,80.23,45.459999999999994,49.739999999999995,4.8
87,1000.0,77.0,45.21999999999999,49.10000000000001,4.85
88,1000.0,76.1,45.21999999999999,54.88000000000001,4.9
89,1000.0,74.61999999999999,45.05999999999999,51.059999999999995,4.95
90,1000.0,76.18,45.21999999999999,54.67999999999999,5.0
91,1000.0,76.17999999999999,45.54,56.370000000000005,5.05
92,1000.0,76.43999999999998,45.29999999999999,49.040000000000006,5.1
93,1000.0,76.66000000000001,45.3,47.21999999999999,5.15
94,1000.0,78.71,45.13999999999999,53.52,5.2
95,1000.0,73.99,45.459999999999994,46.25,5.25
96,1000.0,76.92,45.459999999999994,51.31,5.3
97,1000.0,79.46000000000001,45.379999999999995,44.11,5.35
98,1000.0,79.84,45.21999999999999,50.17999999999999,5.4
99,1000.0,77.21000000000001,45.459999999999994,48.730000000000004,5.45
100,1000.0,75.25000000000001,45.13999999999999,53.03000000000001,5.5
101,1000.0,79.75999999999999,45.29999999999999,44.54,5.55
102,1000.0,77.39,45.61999999999999,41.739999999999995,5.6
103,1000.0,73.94,45.29999999999999,56.31,5.65
104,1000.0,78.00000000000001,45.29999999999999,50.14,5.7
105,1000.0,77.55999999999999,45.459999999999994,47.879999999999995,5.75
106,1000.0,79.5,45.379999999999995,55.2,5.8
107,1000.0,75.16999999999999,45.3,59.04,5.85
108,1000.0,76.17,45.3,50.480000000000004,5.9
109,1000.0,74.84,45.379999999999995,53.129999999999995,5.95
110,1000.0,79.64,45.379999999999995,50.550000000000004,6.0
111,1000.0,78.11999999999999,45.13999999999999,50.36,6.05
112,1000.0,77.26,45.21999999999999,42.05,6.1
113,1000.0,79.75,45.379999999999995,47.10000000000001,6.15
114,1000.0,78.35,45.379999999999995,42.82,6.2
115,1000.0,82.07000000000001,45.459999999999994,54.30999999999999,6.25
116,1000.0,77.7,45.379999999999995,44.029999999999994,6.3
117,1000.0,78.66000000000001,45.37999999999999,45.050000000000004,6.35
118,1000.0,77.32000000000001,45.13999999999999,49.599999999999994,6.4
119,1000.0,76.19,45.05999999999999,53.589999999999996,6.45
120,1000.0,76.78,45.219999999999985,41.46,6.5
121,1000.0,75.75000000000001,45.13999999999999,65.49000000000001,6.55
122,1000.0,75.46000000000001,45.3,45.53,6.6
123,1000.0,76.29999999999998,45.05999999999999,62.42999999999999,6.65
124,1000.0,74.03,45.379999999999995,43.660000000000004,6.7
125,1000.0,74.61999999999998,45.21999999999999,46.89,6.75
126,1000.0,73.43999999999998,45.53999999999999,40.959999999999994,6.8
127,1000.0,75.92,45.3,42.919999999999995,6.85
128,1000.0,76.65,45.53999999999999,50.36,6.9
129,1000.0,77.8,45.3,44.37,6.95
130,1000.0,77.22,45.21999999999999,51.11,7.0
131,1000.0,75.45000000000002,45.21999999999999,48.89,7.05
132,1000.0,74.9,45.3,48.68,7.1
133,1000.0,78.35,45.379999999999995,44.129999999999995,7.15
134,1000.0,75.28,45.05999999999999,52.56,7.2
135,1000.0,77.21000000000001,45.459999999999994,44.47,7.25
136,1000.0,73.32,45.3,41.510000000000005,7.3
137,1000.0,74.58,45.05999999999999,56.93000000000001,7.35
138,1000.0,80.38000000000001,45.13999999999999,54.6,7.4
139,1000.0,77.16,45.21999999999999,62.769999999999996,7.45
140,1000.0,76.54999999999998,45.219999999999985,56.330000000000005,7.5
141,1000.0,75.48,45.21999999999999,59.67999999999999,7.55
142,1000.0,77.07,45.459999999999994,49.010000000000005,7.6
143,1000.0,73.51,45.21999999999999,46.61,7.65
144,1000.0,76.95,45.379999999999995,39.63,7.7
